name,display_name,institution,country,birth_date,death_date,first_year,last_year,note
Ming-Chit Liu,,Hong Kong Baptist University,HK,,,,,Active living researcher; surface from zbMATH MSC ranking.
Maurizio B. S. Laporta,,University of Naples Federico II,IT,,,,,Institution from researcher's faculty page; 2026-05.
Danilo Bazzanella,,Politecnico di Torino,IT,,,2000,2023,DISMA; from polito.it staff page. 2026-05.
Gérald Tenenbaum,,Université de Lorraine,FR,,,1976,2026,"Institut Élie Cartan, Nancy. Professor Emeritus. 2026-05."
Michael A. Bennett,,University of British Columbia,CA,,,1991,2025,Confirmed from math.ubc.ca/~bennett/. 2026-05.
Cameron L. Stewart,,University of Waterloo,CA,,,1976,2025,Pure Math Department. 2026-05.
Brian Cook,,Kent State University,US,,,,,Per kent.edu/math/profile/brian-cook. Was previously listed Oxford which is stale. 2026-05.
Ramachandran Balasubramanian,,Institute of Mathematical Sciences,IN,,,,,IMSc Chennai. Emeritus. Previously listed Arizona State which was wrong. 2026-05.
Jan Moser,,Comenius University Bratislava,SK,,,,,Department of Mathematical Analysis. Previously listed Myanmar Geosciences which was a different Jan Moser. 2026-05.
Régis de la Bretèche,,Université Paris Cité,FR,,,,,IMJ-PRG. Previously listed CNRS which is the funding body. 2026-05.
Sary Drappeau,,Aix-Marseille Université,FR,,,,,Institut de Mathématiques de Marseille (I2M). Previously listed CNRS which is the funding body. 2026-05.
Marek Wolf,,Cardinal Stefan Wyszyński University,PL,,,,,UKSW Warsaw. Previously listed Charles University Prague which was wrong. 2026-05.
Jiseong Kim,,University of Mississippi,US,,,,,Visiting Assistant Professor. Previously listed KAIST which was outdated. 2026-05.
Jori Merikoski,,University of Helsinki,FI,,,,,Moved from Oxford to Helsinki as Assistant Professor 2025. 2026-05.
Roger Baker,,Brigham Young University,US,,,,,Number theorist at BYU; OpenAlex mis-tagged a health system. 2026-05-30.
Antal Balog,,Alfréd Rényi Institute of Mathematics,HU,,,,,Hungarian Academy of Sciences; OpenAlex mis-tagged a music academy. 2026-05-30.
C. Y. Yıldırım,,Boğaziçi University,TR,,,,,Istanbul; OpenAlex mis-tagged a Hungarian funding agency. 2026-05-30.
S. W. Graham,,Central Michigan University,US,,,,,Sidney W. Graham; OpenAlex mis-tagged a Hungarian funding agency. 2026-05-30.
S. I. Dimitrov,,Technical University of Sofia,BG,,,,,Faculty of Applied Mathematics and Informatics; OpenAlex mis-tagged a French biosciences institute. 2026-05-30.
Harold Davenport,,University of Cambridge,GB,1907,1969-06-09,1908,2019,Cambridge/UCL; analytic number theorist.
Eckford Cohen,,,,1920,2005,1947,2022,Arithmetic functions; deceased.
G. I. Arkhipov,,,,1945,2013,,,Trigonometric sums; deceased.
Saburô Uchiyama,,,,1929,2007,1954,2014,Analytic number theorist; deceased.
Paul Erdős,,,,1913,1996-09-20,,,Deceased; name-form alias for In Memoriam routing.
H. Halberstam,,,,1926,2014-01-25,,,Deceased; name-form alias for In Memoriam routing.
Chengdong Pan,,,,1934,1997,,,Founder of Chinese Goldbach school; deceased.
Pan Chengdong,,,,1934,1997,,,Founder of Chinese Goldbach school; deceased.
li.hongze,Hongze Li,Shanghai Jiao Tong University,CN,,,1996,2018,zbMATH author-code name normalization.
pan.chengdong,Chengdong Pan,,,1934,1997,,,Founder of the Chinese Goldbach school; deceased.
pan.chengbiao,Chengbiao Pan,Peking University,CN,,,1980,2010,Analytic number theorist (Peking University).
lu.xiaodong,Xiaodong Lü,Tongji University,CN,,,2015,2024,"Waring-Goldbach problem; Dept. of Mathematics, Tongji University. Identified via zbMATH docs + web, 2026-05-30."
Gang Yu,,Kent State University,US,,,,,
Rainer Dietmann,,"Royal Holloway, University of London",GB,,,2000,2026,
Scott T. Parsell,,West Chester University,US,,,1999,2023,
Maksym Radziwiłł,,Northwestern University,US,,,2009,2025,
Kai-Man Tsang,,University of Hong Kong,HK,,,1982,2017,
Christian Elsholtz,,Graz University of Technology,AT,,,2001,2026,
Cécile Dartyge,,Université de Lorraine,FR,,,1994,2025,
Glyn Harman,,Royal Holloway University of London,GB,,,1981,2024,
Peter D. T. A. Elliott,,University of Colorado Boulder,US,,,1965,2021,
Sergeĭ Vladimirovich Konyagin,,Steklov Mathematical Institute,RU,,,1977,2025,
Yuchen Ding,,Yangzhou University,CN,,,2013,2026,
Guangshi Lu,,Shandong University,CN,,,2004,2026,
András Sárközy,,Eötvös Loránd University,HU,,,1962,2023,
Alessandro Gambini,,University of Bologna,IT,,,1984,2026,
Kevin Hughes,,University of Bristol,GB,,,,,
Craig V. Spencer,,Kansas State University,US,,,2008,2024,
Ritabrata Munshi,,Indian Statistical Institute,IN,,,2007,2025,
Chaohua Jia,,Chinese Academy of Sciences,CN,,,1990,2020,
Hongze Li,,Shanghai Jiao Tong University,CN,,,1996,2018,
Chengbiao Pan,,Peking University,CN,,,1980,2010,
bredikhin.boris-maksimovich,Boris Maksimovich Bredikhin,Steklov Institute of Mathematics,RU,,,,,
Haiwei Sun,,,,,,,,
